1,SBR无加载-电阻,∞,10000,1,3,,
2,SBR轻加载-电阻,∞,10000,2,3,,
3,SBR重加载-电阻,100,0.1,1,10,,
4,SBR释放-电阻,∞,10000,1,10,,
5,侧安全气囊-电阻,2.8,1.7,1,3,,
6,远端气囊-电阻,2.8,1,1,3,,Y
7,安全锁扣未插入-电阻,100,0.1,1,10,,
8,安全锁扣插入-电阻,∞,10000,1,20,,
9,安全锁扣释放-电阻,100,0.1,1,10,,
10,卷缩器-电阻,2.8,1.7,1,5,,
