1,SBR无加载-电阻,∞,10000,1,3,,,,,,,,,,,,
2,SBR轻加载-电阻,∞,1,2,3,,,,,,,,,,,,
3,SBR重加载-电阻,100,0.1,1,10,,,,,,,,,,,,
4,SBR释放-电阻,∞,10000,3,10,,,,,,,,,,,,
5,侧安全气囊-电阻,2.8,1.7,1,3,,,,,,,,,,,,
6,远端气囊-电阻,2.8,1.7,1,3,,,,,,,,,,,,
7,PLP-电阻,2.8,1.7,1,3,,,,,,,,,,,,
8,安全锁扣未插入-电阻,100,0.1,1,10,,,,,,,,,,,,
9,安全锁扣插入-电阻,∞,10000,1,20,,,,,,,,,,,,
10,安全锁扣释放-电阻,100,0.1,1,10,,,,,,,,,,,,
11,左声音-电流,1.5,0.5,1,10,,,,,,,,,,,,
12,右声音-电流,1.5,0.5,1,10,,,,,,,12,12,,,,12
